"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.853557358E1,-6.039939880E-1,8.375682678E0,-1.680555267E0
2.854562458E1,-5.237608337E-1,8.325237579E0,-1.926942902E0
2.855567458E1,-3.986210632E-1,8.409811707E0,-2.272574158E0
2.856572558E1,-3.213816833E-1,8.420738983E0,-2.711760864E0
2.857577558E1,-1.998344421E-1,8.266110535E0,-3.076252899E0
2.858582658E1,-2.439926147E-1,8.052355042E0,-3.457809448E0
2.859587658E1,-2.953358459E-1,7.772586823E0,-3.871399384E0
2.860592758E1,-3.888912964E-1,7.577991486E0,-4.388723602E0
2.861597758E1,-4.933740234E-1,7.453899536E0,-4.944068756E0
2.862602858E1,-4.653822327E-1,7.368576965E0,-5.517975311E0
2.863607858E1,-3.023712158E-1,7.440876617E0,-5.896238708E0
2.864612958E1,-1.507365417E-1,7.701035614E0,-5.916596375E0
2.865617958E1,-1.812730408E-1,7.903414764E0,-5.597310333E0
2.866623058E1,-3.046165466E-1,7.933651886E0,-5.212161255E0
2.867628058E1,-4.514611816E-1,7.764204254E0,-4.923262024E0
2.868633158E1,-4.906796265E-1,7.468119965E0,-4.518503723E0
2.869638158E1,-4.869374084E-1,7.105573883E0,-4.206402740E0
2.870643258E1,-3.869453430E-1,6.775659943E0,-4.278852081E0
2.871648258E1,-3.317102051E-1,6.625671844E0,-4.548441467E0
2.872653358E1,-3.668870544E-1,6.791976013E0,-4.573738861E0
2.873658358E1,-4.460723877E-1,7.112758942E0,-4.340673523E0
2.874663458E1,-3.071612549E-1,7.515421600E0,-4.070186005E0
2.875668458E1,2.028282166E-1,8.058043213E0,-3.948788452E0
2.876673558E1,4.712200928E-1,8.487350464E0,-3.827091522E0
2.877678558E1,3.844006348E-1,8.140222321E0,-3.560495911E0
2.878683658E1,8.637039185E-2,7.496111755E0,-2.937790833E0
2.879688658E1,-3.754193115E-1,8.089328156E0,-2.099084930E0
2.880693758E1,-8.451425171E-1,9.966724091E0,-1.483265533E0
2.881698758E1,-1.283880157E0,1.264285904E1,-1.265318756E0
2.882703858E1,-1.486558685E0,1.559187653E1,-1.638642426E0
2.883708858E1,-1.655557251E0,1.728889755E1,-2.397863617E0
2.884713958E1,-1.830243988E0,1.656664948E1,-2.770289154E0
2.885718958E1,-1.218765564E0,1.303953415E1,-2.784659271E0
2.886724058E1,-6.622229004E-1,9.480984192E0,-2.346520386E0
